City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Longyearbyen,SJ,2020-04-19 00:00:11,78.22,15.64,28.4,92,20,2.24,few clouds,0.0,0.0
1,Bredasdorp,ZA,2020-04-18 23:57:12,-34.53,20.04,50.0,87,55,2.24,broken clouds,0.0,0.0
2,Sabang,ID,2020-04-19 00:00:50,5.89,95.32,82.45,72,83,3.36,broken clouds,0.0,0.0
3,Richards Bay,ZA,2020-04-19 00:00:50,-28.78,32.04,72.46,79,40,8.46,light rain,0.23,0.0
4,Ilulissat,GL,2020-04-18 23:57:44,69.22,-51.1,23.0,85,100,8.05,overcast clouds,0.0,0.0
5,Bluff,NZ,2020-04-19 00:00:50,-46.6,168.33,55.99,67,100,11.01,light rain,0.11,0.0
6,Rikitea,PF,2020-04-19 00:00:35,-23.12,-134.97,77.41,70,42,5.93,scattered clouds,0.0,0.0
7,Vaini,TO,2020-04-19 00:00:50,-21.2,-175.2,80.6,74,40,12.75,scattered clouds,0.0,0.0
8,Mataura,NZ,2020-04-19 00:00:50,-46.19,168.86,55.99,67,80,11.01,light rain,0.11,0.0
9,Kavieng,PG,2020-04-19 00:00:50,-2.57,150.8,82.99,74,93,4.9,light rain,1.56,0.0
10,Port Lincoln,AU,2020-04-18 23:56:00,-34.73,135.87,62.51,63,63,16.31,broken clouds,0.0,0.0
11,Port Blair,IN,2020-04-19 00:00:50,11.67,92.75,83.28,74,17,6.06,few clouds,0.0,0.0
12,Ushuaia,AR,2020-04-19 00:00:38,-54.8,-68.3,46.4,61,40,11.41,scattered clouds,0.0,0.0
13,Puerto Carreno,CO,2020-04-18 23:56:25,6.19,-67.49,78.8,83,40,13.6,scattered clouds,0.0,0.0
14,Berdsk,RU,2020-04-19 00:00:50,54.76,83.1,30.2,80,1,2.24,smoke,0.0,0.0
15,Qinhuangdao,CN,2020-04-19 00:00:50,39.93,119.59,56.37,50,100,6.08,overcast clouds,0.0,0.0
16,Hermanus,ZA,2020-04-19 00:00:50,-34.42,19.23,64.0,66,78,3.0,broken clouds,0.0,0.0
17,Isangel,VU,2020-04-19 00:00:50,-19.55,169.27,80.6,78,75,6.93,broken clouds,0.0,0.0
18,Yellowknife,CA,2020-04-19 00:00:50,62.46,-114.35,26.6,92,90,10.29,light snow,0.0,0.0
19,Takoradi,GH,2020-04-19 00:00:50,4.88,-1.76,80.42,86,47,7.07,light rain,1.76,0.0
20,Mattawa,US,2020-04-19 00:00:50,46.74,-119.9,68.0,39,90,4.7,overcast clouds,0.0,0.0
21,Bilibino,RU,2020-04-19 00:00:51,68.05,166.44,7.97,79,71,5.64,broken clouds,0.0,0.0
22,Punta Arenas,CL,2020-04-19 00:00:51,-53.15,-70.92,48.2,66,40,16.11,scattered clouds,0.0,0.0
23,Itarema,BR,2020-04-19 00:00:51,-2.92,-39.92,77.56,83,31,1.52,scattered clouds,0.0,0.0
24,Periyapatti,IN,2020-04-19 00:00:51,10.75,77.27,80.6,83,20,2.24,few clouds,0.0,0.0
25,Manjacaze,MZ,2020-04-19 00:00:51,-24.71,33.88,69.01,86,4,6.87,clear sky,0.0,0.0
26,Halifax,CA,2020-04-19 00:00:51,44.65,-63.57,34.0,74,100,3.0,snow,0.0,0.0
27,Albany,US,2020-04-18 23:56:55,42.6,-73.97,46.0,72,76,11.52,light rain,0.22,0.0
