City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Longyearbyen,SJ,28.4,few clouds,78.22,15.64,"Radisson Blu Polar Hotel, Spitsbergen"
Bredasdorp,ZA,50.0,broken clouds,-34.53,20.04,Bredasdorp Country Manor
Ushuaia,AR,46.4,scattered clouds,-54.8,-68.3,Albatros Hotel
Berdsk,RU,30.2,smoke,54.76,83.1,Borvikha Hotel & Spa
Yellowknife,CA,26.6,light snow,62.46,-114.35,The Explorer Hotel
Punta Arenas,CL,48.2,scattered clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
Halifax,CA,34.0,snow,44.65,-63.57,Hotel Halifax
New Norfolk,AU,54.0,broken clouds,-42.78,147.06,The Shingles Riverside Cottages
Ayr,GB,41.0,clear sky,55.46,-4.63,Fairfield House Hotel
Nikolskoye,RU,36.0,overcast clouds,59.7,30.79,Tourist House - Sablino
Gavle,SE,39.0,few clouds,60.67,17.14,Scandic CH
Baruun-Urt,MN,38.32,overcast clouds,46.68,113.28,Ахмадын амралт сувилал
Bulgan,MN,32.86,scattered clouds,48.81,103.53,Эрүүл Мэндийн Газар
Jamestown,US,45.0,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
Pastavy,BY,32.32,scattered clouds,55.12,26.83,"Общежитие УО ""Поставский государственный колледж"""
Bogovarovo,RU,31.15,overcast clouds,58.98,47.02,
Filadelfia,US,46.4,scattered clouds,39.95,-75.16,Holiday Inn Express Philadelphia-Midtown
Dikson,RU,35.65,overcast clouds,73.51,80.55,
Gistrup,DK,32.0,clear sky,56.99,9.99,Gultentorp Bed & Breakfast
Kodiak,US,46.4,few clouds,57.79,-152.41,Best Western Kodiak Inn and Convention Center
Solnechnyy,RU,36.86,overcast clouds,50.72,136.63,Hotel complex Pastoral
Nome,US,34.0,mist,64.5,-165.41,Dredge 7 Inn
Lebu,CL,54.84,broken clouds,-37.62,-73.65,Hostal Las Lilas
Bilokurakyne,UA,38.35,few clouds,49.53,38.73,ГОСТИНИЦА ЮБИЛЕЙНАЯ( ПАЛУБА)
Sindor,RU,31.17,overcast clouds,62.86,51.89,
Alnashi,RU,33.69,scattered clouds,56.19,52.48,"Motel' ""Voyazh"""
Severo-Kurilsk,RU,34.54,few clouds,50.68,156.12,Kak Doma
Lipin Bor,RU,29.01,broken clouds,60.26,37.98,Priozor'ye
Mastic Beach,US,43.0,broken clouds,40.77,-72.85,Brushwood House by Smith Point Beach
Paveh,IR,46.18,clear sky,35.04,46.36,بنگاه معاملات ملکی
Mount Gambier,AU,48.2,overcast clouds,-37.83,140.77,Best Western Southgate Motel
Aanekoski,FI,33.01,few clouds,62.69,25.82,Tervahovi
Norman Wells,CA,39.2,light rain,65.28,-126.83,Heritage Hotel
Berlevag,NO,34.47,broken clouds,70.86,29.09,Kvitbrakka
Okha,RU,26.1,broken clouds,53.57,142.95,Империя
Portland,US,54.0,light rain,45.52,-122.68,Portland Marriott City Center
Lock Haven,US,43.0,scattered clouds,41.14,-77.45,Fairfield Inn & Suites by Marriott Lock Haven
Sitka,US,51.8,scattered clouds,57.05,-135.33,Westmark Sitka
Torbay,CA,33.01,few clouds,47.67,-52.73,Gallows Cove
Alekseyevka,RU,36.79,clear sky,50.63,38.69,Apartment on Ploshchad Pobedy
Shizunai,JP,49.15,overcast clouds,42.33,142.37,Shizunai Eclipse Hotel
Hare Bay,CA,32.0,few clouds,48.85,-54.01,
Hirtshals,DK,41.38,clear sky,57.59,9.96,Montra Skaga Hotel
Grindavik,IS,35.6,light rain,63.84,-22.43,Northern Light Inn & Max's Restaurant
Talnakh,RU,35.6,overcast clouds,69.49,88.4,Talnakh Hotel
Permet,AL,50.0,scattered clouds,40.23,20.35,Ilir Guest House 1
At-Bashi,KG,39.13,few clouds,41.17,75.81,Hostel At-Bashy
Borovskoy,KZ,42.82,broken clouds,53.8,64.15,
Hovd,MN,34.7,clear sky,48.01,91.64,Hotel Khovd
Northam,GB,52.0,scattered clouds,51.03,-4.22,Durrant House Hotel
Ushtobe,KZ,50.97,clear sky,45.25,77.98,"Gostinitsa ""Diyar"""
Mogadouro,PT,47.5,overcast clouds,41.34,-6.71,Pensão Russo
Nizhniy Odes,RU,32.32,overcast clouds,63.64,54.86,
Hohhot,CN,42.8,mist,40.81,111.65,Sheraton Hohhot Hotel
Zhezkazgan,KZ,52.39,broken clouds,47.8,67.71,Kvartiry Posutochno.
Ozinki,RU,37.29,few clouds,51.18,49.68,at Rest
Tornio,FI,32.0,broken clouds,65.85,24.15,Park Hotel Tornio
Broome,US,39.99,light rain,42.25,-75.83,Chenango Valley State Park
Vardo,NO,36.64,overcast clouds,70.37,31.11,Vardø Hotel AS
Klaksvik,FO,42.8,clear sky,62.23,-6.59,Airbnb rooms
Torva,EE,37.0,overcast clouds,58.0,25.93,Hotell De Tolly
Husavik,IS,46.4,broken clouds,66.04,-17.34,Bjarnabúð
Chapais,CA,39.2,broken clouds,49.78,-74.85,Hôtel Opémiska
Tromso,NO,39.2,light rain,69.65,18.96,"Radisson Blu Hotel, Tromsø"
Barrhead,GB,41.0,clear sky,55.8,-4.39,The Gleniffer Hotel
Anchorage,US,51.8,overcast clouds,61.22,-149.9,Hotel Captain Cook
Leirvik,NO,39.99,clear sky,59.78,5.5,Stord Hotel
Komsomolskiy,UZ,53.6,clear sky,40.43,71.72,"Hotel ""Ikathouse"""
La Ronge,CA,32.0,broken clouds,55.1,-105.28,Northland Motor Hotel
Gouda,NL,53.01,overcast clouds,52.02,4.71,Best Western Plus City Hotel Gouda
Vestmanna,FO,42.8,clear sky,62.16,-7.17,Budget Guesthouse Borgustova
Pitlochry,GB,39.99,clear sky,56.71,-3.73,The Old Mill Inn
Astana,KZ,41.0,broken clouds,51.18,71.45,King Hotel Astana
Havre-Saint-Pierre,CA,32.0,clear sky,50.23,-63.6,Auberge Niapiskau
Skibbereen,IE,46.4,light intensity drizzle,51.55,-9.27,The West Cork Hotel
Poltavka,RU,51.94,overcast clouds,54.37,71.76,
