City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kachiry,KZ,2020-04-17 01:19:01,53.07,76.1,47.52,62,14,5.75
1,Punta Arenas,CL,2020-04-17 01:14:08,-53.15,-70.92,50.0,87,75,8.05
2,Touros,BR,2020-04-17 01:19:01,-5.2,-35.46,75.2,100,40,3.36
3,Namibe,AO,2020-04-17 01:19:01,-15.2,12.15,75.13,61,0,6.26
4,Busselton,AU,2020-04-17 01:19:01,-33.65,115.33,55.99,91,64,1.01
5,Hami,CN,2020-04-17 01:19:01,42.8,93.45,63.81,22,99,9.22
6,Norman Wells,CA,2020-04-17 01:19:01,65.28,-126.83,44.6,75,75,16.11
7,Mar Del Plata,AR,2020-04-17 01:19:01,-38.0,-57.56,62.01,100,16,3.36
8,Cayenne,GF,2020-04-17 01:17:49,4.93,-52.33,75.2,100,95,7.05
9,Klaksvik,FO,2020-04-17 01:19:01,62.23,-6.59,41.0,80,48,11.03
10,Port Alfred,ZA,2020-04-17 01:19:01,-33.59,26.89,59.0,79,0,3.0
11,Clyde River,CA,2020-04-17 01:19:01,70.47,-68.59,1.4,84,90,12.75
12,Kapaa,US,2020-04-17 01:19:01,22.08,-159.32,82.4,69,20,12.75
13,Tuktoyaktuk,CA,2020-04-17 01:19:01,69.45,-133.04,17.6,85,90,14.99
14,Yakeshi,CN,2020-04-17 01:19:01,49.28,120.73,45.66,41,7,5.99
15,Bluff,NZ,2020-04-17 01:19:01,-46.6,168.33,48.0,94,100,8.01
16,Flinders,AU,2020-04-17 01:19:01,-34.58,150.86,73.99,33,6,16.11
17,Thompson,CA,2020-04-17 01:19:01,55.74,-97.86,28.4,50,75,6.93
18,Umm Bab,QA,2020-04-17 01:19:02,25.21,50.81,70.0,100,1,3.94
19,Portree,GB,2020-04-17 01:19:02,57.41,-6.19,45.0,76,19,3.22
20,Galesong,ID,2020-04-17 01:19:02,-5.32,119.37,84.2,74,20,4.7
21,Atuona,PF,2020-04-17 01:19:02,-9.8,-139.03,82.9,72,64,11.92
22,Jamestown,US,2020-04-17 01:16:47,42.1,-79.24,34.0,63,75,11.41
23,Port Lincoln,AU,2020-04-17 01:19:02,-34.73,135.87,62.64,59,17,10.51
24,Sedro-Woolley,US,2020-04-17 01:17:05,48.5,-122.24,68.0,39,20,13.87
25,Chokurdakh,RU,2020-04-17 01:19:02,70.63,147.92,-5.08,91,91,9.51
26,Camana,PE,2020-04-17 01:19:02,-16.62,-72.71,72.19,76,24,7.31
27,Butaritari,KI,2020-04-17 01:19:02,3.07,172.79,84.2,75,100,15.12
28,Kavieng,PG,2020-04-17 01:19:02,-2.57,150.8,77.09,91,100,21.32
29,Walvis Bay,NA,2020-04-17 01:19:02,-22.96,14.51,55.99,87,41,3.36
